ts,window,action,side,shares,vwap,fee,cash,reason,impulse,skew_up_mid,skew_down_mid,age_s
1789449481,1789449300,BUY,Down,53.5,0.91,0.3067,951.01,impulse -89.2 skew agrees,-89.19,0.075,0.925,180
1789460281,1789460100,BUY,Down,53.21,0.95,0.1769,953.78,impulse -80.0 skew agrees,-80.01,0.065,0.935,180
1789469880,1789469700,BUY,Up,54.42,0.91,0.312,957.15,impulse +88.3 skew agrees,88.29,0.915,0.085,180
1789479781,1789479600,BUY,Up,59.55,0.83,0.5881,961.57,impulse +136.2 skew agrees,136.17,0.835,0.165,180
1789480080,1789479900,BUY,Down,53.56,0.95,0.1781,970.06,impulse -104.2 skew agrees,-104.23,0.055,0.945,180
1789480380,1789480200,BUY,Down,54.22,0.94,0.2141,972.43,impulse -169.8 skew agrees,-169.8,0.07,0.93,180
1789480981,1789480800,BUY,Down,61.82,0.75,0.8114,979.47,impulse -85.1 skew agrees,-85.06,0.185,0.815,180
1789481580,1789481400,BUY,Down,75.95,0.69,1.1373,987.75,impulse -90.3 skew agrees,-90.26,0.335,0.665,180
1789481880,1789481700,BUY,Down,61.92,0.8531,0.5432,1010.34,impulse -84.1 skew agrees,-84.11,0.155,0.845,180
1789483681,1789483500,BUY,Down,59.78,0.9039,0.3635,1017.86,impulse -116.3 skew agrees,-116.3,0.115,0.885,180
1789487581,1789487400,BUY,Up,62.73,0.85,0.5599,1023.76,impulse +82.0 skew agrees,81.96,0.845,0.155,180
1789487881,1789487700,BUY,Up,58.13,0.93,0.2649,1032.16,impulse +119.3 skew agrees,119.28,0.925,0.075,180
1789491181,1789491000,BUY,Up,57.18,0.96,0.1537,1035.24,impulse +87.0 skew agrees,87.05,0.945,0.055,180
1789497481,1789497300,BUY,Down,59.65,0.88,0.4409,1039.49,impulse -392.8 skew agrees,-392.85,0.095,0.905,180
1789498994,1789498800,BUY,Up,92.05,0.62,1.518,1040.56,impulse +144.6 skew agrees,144.64,0.57,0.095,193
1789499281,1789499100,BUY,Down,61.21,0.93,0.2789,1075.4,impulse -128.6 skew agrees,-128.56,0.085,0.915,180
