window,strike,close,resolved,traded,pnl,equity,impulse,skew_up_mid,skew_down_mid,reason
1789420200,,78842.8772750468,,0,0.0,1000.0,,,,no strike (joined late)
1789420500,78877.12682872302,78906.11521264966,,0,0.0,1000.0,,,,no signal
1789420800,78908.08538226679,78956.89382047707,,0,0.0,1000.0,,,,no signal
1789421100,78956.59870686736,78890.88128275382,,0,0.0,1000.0,,,,no signal
1789421400,78893.33844644965,78896.47971996135,,0,0.0,1000.0,,,,no signal
1789421700,78901.47889130762,78800.81192662935,,0,0.0,1000.0,-105.94,0.035,0.965,skipped: price>0.95 favorite
1789422000,78800.3333288263,78804.561675475,,0,0.0,1000.0,,,,no signal
1789422300,78802.52604872764,78784.8930797682,,0,0.0,1000.0,,,,no signal
1789422600,78799.5539854884,78757.55067896,,0,0.0,1000.0,,,,no signal
1789422900,78757.77800542314,78746.25858585139,,0,0.0,1000.0,,,,no signal
1789423200,78744.19210687342,78704.67020590961,,0,0.0,1000.0,,,,no signal
1789423500,78716.5419362036,78795.15394260819,,0,0.0,1000.0,,,,no signal
1789423800,78799.07077753954,78821.21709431097,,0,0.0,1000.0,,,,no signal
1789424100,78815.1251193808,78639.43040636,,0,0.0,1000.0,-102.25,0.002,0.998,skipped: price>0.95 favorite
1789424400,78635.56995726,78563.61616434374,,0,0.0,1000.0,,,,no signal
1789424700,78552.42791173789,78523.23510476876,,0,0.0,1000.0,,,,no signal
1789425000,78575.59062392541,78540.04983592115,,0,0.0,1000.0,,,,no signal
1789425300,78527.28333429253,78574.42890675366,,0,0.0,1000.0,,,,no signal
1789425600,78581.03094655983,78642.24471260823,,0,0.0,1000.0,,,,no signal
1789425900,78642.24994498564,78585.59428120915,,0,0.0,1000.0,,,,no signal
1789426200,78577.45768371646,78555.76676390898,,0,0.0,1000.0,,,,no signal
1789426500,78554.8361279278,78542.18853555447,,0,0.0,1000.0,,,,no signal
1789426800,78541.7378596607,78441.39269202162,,0,0.0,1000.0,,,,no signal
1789427100,78436.09780659807,78405.36558212223,,0,0.0,1000.0,,,,no signal
1789427400,78408.4115397231,78428.34336931528,,0,0.0,1000.0,,,,no signal
1789427700,78414.47154158035,78368.90169566058,,0,0.0,1000.0,,,,no signal
1789428000,78370.91940407627,78404.59342688121,,0,0.0,1000.0,,,,no signal
1789428300,78414.70637015346,78395.41878254774,,0,0.0,1000.0,,,,no signal
1789428600,78384.7556890697,78281.18532569108,,0,0.0,1000.0,,,,no signal
1789428900,78284.960148855,78278.16559968262,,0,0.0,1000.0,,,,no signal
1789429200,78278.29406280276,78311.40293377262,,0,0.0,1000.0,,,,no signal
1789429500,78305.88143689,78275.27082119588,,0,0.0,1000.0,,,,no signal
1789429800,78271.38586987,78173.61005963403,,0,0.0,1000.0,-116.19,0.015,0.985,skipped: price>0.95 favorite
1789430100,78171.101237605,78176.664293085,,0,0.0,1000.0,,,,no signal
1789430400,78189.67243591734,78157.50114912352,,0,0.0,1000.0,,,,no signal
1789430700,78160.500907445,78231.48664499327,,0,0.0,1000.0,,,,no signal
1789431000,78239.98688965563,78116.37371624341,,0,0.0,1000.0,-99.79,0.025,0.975,skipped: price>0.95 favorite
1789431300,78111.08719445892,78059.13490119153,,0,0.0,1000.0,,,,no signal
1789431600,78042.18595005745,78030.04422893003,,0,0.0,1000.0,,,,no signal
1789431900,78027.53390402932,78003.62085399,,0,0.0,1000.0,,,,no signal
1789432200,78007.57108634547,78035.00367629962,,0,0.0,1000.0,,,,no signal
1789432500,78025.18918173641,77996.77522393866,,0,0.0,1000.0,,,,no signal
1789432800,77984.77875419665,77951.13812429816,,0,0.0,1000.0,,,,no signal
1789433100,77951.97039125809,77985.42873075245,,0,0.0,1000.0,,,,no signal
1789433400,77979.10243089197,77947.989080615,,0,0.0,1000.0,,,,no signal
1789433700,77943.40526456933,77938.60302029063,,0,0.0,1000.0,,,,no signal
1789434000,77941.0443330935,77817.5162590376,,0,0.0,1000.0,-88.06,0.035,0.965,skipped: price>0.95 favorite
1789434300,77816.91264928223,77749.82146127643,,0,0.0,1000.0,,,,no signal
1789434600,77749.1430027749,77797.25109750051,,0,0.0,1000.0,90.72,0.965,0.035,skipped: price>0.95 favorite
1789434900,77809.65888344265,77855.57923431069,,0,0.0,1000.0,,,,no signal
1789435200,77855.31366193497,78003.159723647,,0,0.0,1000.0,,,,no signal
1789435500,78002.564905665,77835.70038533502,,0,0.0,1000.0,,,,no signal
1789435800,77844.26938791193,77945.36564178509,,0,0.0,1000.0,,,,no signal
1789436100,77939.02419281,77971.72560590194,,0,0.0,1000.0,,,,no signal
1789436400,77968.9032723022,78001.05808609026,,0,0.0,1000.0,,,,no signal
1789436700,77994.64824524,78046.70246123105,,0,0.0,1000.0,,,,no signal
1789437000,78047.78898676179,77975.17886643596,,0,0.0,1000.0,,,,no signal
1789437300,77963.41354365171,77900.0444222503,,0,0.0,1000.0,,,,no signal
1789437600,77896.60954809182,77932.32772852508,,0,0.0,1000.0,,,,no signal
1789437900,77921.61077070405,77949.73972082158,,0,0.0,1000.0,,,,no signal
1789438200,77951.5922787005,77968.07582652677,,0,0.0,1000.0,,,,no signal
1789438500,77971.53044634996,77927.12384689928,,0,0.0,1000.0,,,,no signal
1789438800,77918.97599715988,77957.380038255,,0,0.0,1000.0,,,,no signal
1789439100,77964.19185922,77940.88890691388,,0,0.0,1000.0,,,,no signal
1789439400,77940.65707243115,77917.71458902526,,0,0.0,1000.0,,,,no signal
1789439700,77915.87732841412,77862.6212438,,0,0.0,1000.0,-80.03,0.025,0.975,skipped: price>0.95 favorite
1789440000,77867.1226432,77859.78220965987,,0,0.0,1000.0,,,,no signal
1789440300,77858.52494418828,77809.72688027158,,0,0.0,1000.0,,,,no signal
1789440600,77805.73754918779,77836.38223947256,,0,0.0,1000.0,,,,no signal
1789440900,77836.86186395609,77894.20264204679,,0,0.0,1000.0,,,,no signal
1789441200,77890.49887822146,77766.40989732438,,0,0.0,1000.0,-115.86,0.005,0.994,skipped: thin book
1789441500,77765.09831036799,77761.0131596678,,0,0.0,1000.0,,,,no signal
1789441800,77762.78268591012,77699.85096856554,,0,0.0,1000.0,,,,no signal
1789442100,77702.81608711212,77738.66520689585,,0,0.0,1000.0,,,,no signal
1789442400,77739.29001785896,77808.745263912,,0,0.0,1000.0,,,,no signal
1789442700,77809.31617644854,77820.630839785,,0,0.0,1000.0,,,,no signal
1789443000,77820.97715700096,77821.22907169555,,0,0.0,1000.0,,,,no signal
1789443300,77820.51907506525,77818.2338975437,,0,0.0,1000.0,,,,no signal
1789443600,77796.62596826117,77782.735421365,,0,0.0,1000.0,,,,no signal
1789443900,77782.708580655,77722.9973494183,,0,0.0,1000.0,,,,no signal
1789444200,77722.3247698033,77713.15944012548,,0,0.0,1000.0,,,,no signal
1789444500,77693.10731453776,77638.38103184487,,0,0.0,1000.0,,,,no signal
1789444800,77637.63114225,77720.43405942111,,0,0.0,1000.0,,,,no signal
1789445100,77718.82135193287,77635.574,,0,0.0,1000.0,,,,no signal
