window,strike,close,resolved,traded,pnl,equity
1788643500,,79857.0696756757,,0,0.0,1000.0
1788643800,79856.53803801077,79849.6021899944,,1,-19.41,980.59
1788644100,79849.92776117205,79850.93271368,,1,2.94,983.53
1788644400,79867.91045652366,79921.50847792203,,1,-15.07,968.46
1788644700,79917.56924168223,79884.32986015048,,1,3.13,971.59
1788645000,79911.64263945799,79900.97769240737,,1,-17.88,953.71
1788645300,79900.66935913348,79911.12777221,,1,4.51,958.22
1788645600,79910.24152997912,79880.7825966557,,1,37.11,995.34
1788645900,79875.09832941,79864.2773707692,,1,7.46,1002.8
1788646200,79857.181111512,79927.08271785326,,0,0.0,1002.8
1788646500,79926.68635123945,79871.02009873845,,1,2.0,1004.8
1788646800,79869.89422690182,79848.21942126082,,1,1.72,1006.53
1788647100,79859.663446665,79787.17364950308,Down,1,-15.08,991.45
1788647400,79815.30645517446,79825.52499546634,Up,1,-20.13,971.33
1788647700,79822.98874901525,79806.39199744933,Down,1,-19.43,951.9
1788648000,79820.80625896475,79782.0889630642,,1,-53.02,953.51
1788648300,79778.46416090665,79783.8201106836,,1,2.95,956.46
1788648600,79791.8220174319,79808.90771953073,,0,0.0,956.46
1788648900,79807.60239161507,79794.17231312722,,1,15.32,971.78
1788649200,79790.92707338222,79760.64222800423,Down,1,-19.44,952.34
1788649500,79760.68922869569,79761.4374814193,,1,32.28,1004.06
1788649800,79760.9912680436,79761.91227988584,,1,0.57,1004.63
1788650100,79761.97106024905,79799.471,Up,1,-22.74,981.89
1788650400,79799.9794081161,79778.35155306128,Down,1,-20.25,961.65
1788650700,79778.1802133117,79805.87901055448,,1,-42.98,961.65
1788651000,79805.75335002411,79838.77858190963,Up,1,-18.12,943.53
1788651300,79841.39202255003,79782.55337198573,Down,1,-16.99,926.53
1788651600,79801.60420966925,79820.29877106607,,1,-35.11,926.53
1788651900,79822.56746889275,79847.58366538,,0,0.0,926.53
1788652200,79812.75301742277,79855.48185210026,,0,0.0,926.53
1788652500,79860.19148239227,79834.91911926886,,0,0.0,926.53
1788652800,79835.15397779776,79882.33286627801,,0,0.0,926.53
1788653100,79882.04077265096,79912.0181210995,,0,0.0,926.53
1788653400,79912.23729287951,79902.6997967756,,1,-16.1,910.43
1788653700,79911.30738411103,79906.74018529564,,1,-16.85,893.58
1788654000,79908.28973058713,79873.29061854148,Down,1,-16.4,877.18
1788654300,79873.86056958076,79934.25867383018,Up,1,-17.54,859.64
1788654600,79930.7399878348,79901.88977236167,,1,-33.95,859.64
1788654900,79902.0681894014,79878.64612566619,,0,0.0,859.64
1788655200,79906.81864481574,79885.50149992066,,0,0.0,859.64
1788655500,79879.8504997209,79884.04498155297,,0,0.0,859.64
1788655800,79883.82363836795,79886.23315558831,,0,0.0,859.64
1788656100,79885.8918503603,79873.00744315331,,0,0.0,859.64
1788656400,79872.15769757,79935.83119064,,0,0.0,859.64
1788656700,79942.836320185,79977.02111186575,,0,0.0,859.64
1788657000,79976.66424032328,79991.55826484374,,0,0.0,859.64
1788657300,79960.10984481205,79948.22864105881,,0,0.0,859.64
1788657600,79942.25192457567,79931.16906582493,,0,0.0,859.64
1788657900,79932.00934636327,79923.55059250722,,0,0.0,859.64
