window,strike,close,resolved,traded,pnl,equity,impulse,skew_up_mid,skew_down_mid,reason
1789396500,,78380.0030906244,,0,0.0,1000.0,,,,no strike (joined late)
1789396800,,78385.89437153675,,0,0.0,1000.0,,,,no strike (joined late)
1789397100,,78554.15175293616,,0,0.0,1000.0,,,,no strike (joined late)
1789397400,,78521.97909867,,0,0.0,1000.0,,,,no strike (joined late)
1789397700,78541.927523845,,,0,0.0,1000.0,-111.71,0.585,0.415,skipped: skew disagrees
1789397700,78541.927523845,78500.27608593987,,0,0.0,1000.0,-111.71,0.585,0.415,no signal
1789398000,78494.83043508639,78342.85350576781,,0,0.0,1000.0,-151.07,0.015,0.985,no signal
1789398300,78297.68934160656,78515.24329950946,,0,0.0,1000.0,215.54,0.985,0.015,no signal
1789398600,78466.43849197772,78483.98580625954,,0,0.0,1000.0,,,,no signal
1789398900,78470.41088110907,78471.85763161044,,0,0.0,1000.0,,,,no signal
1789400100,78329.04680007593,,,0,0.0,1000.0,102.07,0.205,0.795,skipped: skew disagrees
1789400100,,78405.53224257978,,0,0.0,1000.0,,,,no strike (joined late)
1789400400,,78552.5942225874,,0,0.0,1000.0,,,,no strike (joined late)
1789400700,78528.0841476487,78532.02434600596,,0,0.0,1000.0,,,,no signal
1789401000,78528.28517238356,78568.09645546334,,0,0.0,1000.0,95.41,0.975,0.025,skipped: price>0.95 favorite
1789401300,78565.78101720985,78569.87269731337,,0,0.0,1000.0,,,,no signal
1789401600,78552.88395620421,78443.07559315633,,0,0.0,1000.0,-82.23,0.035,0.965,skipped: price>0.95 favorite
1789401900,78443.09869944173,78445.67685826,,0,0.0,1000.0,,,,no signal
1789402200,78454.11147963784,78402.95151625,,0,0.0,1000.0,,,,no signal
1789402500,78414.9704260462,78778.96145848087,,0,0.0,1000.0,,,,no signal
1789402800,78731.17000712163,78843.7158665567,Up,1,8.05,1008.05,116.95,0.845,0.155,held to settlement
1789403100,78821.92560994503,78678.22249271892,,0,0.0,1008.05,,,,no signal
1789403400,78641.71921551008,78649.16645817128,,0,0.0,1008.05,,,,no signal
1789403700,78651.12737858995,78657.194,,0,0.0,1008.05,,,,no signal
